,AXP,AAPL,BA,CAT,CVX,CSCO,DIS,DOW,XOM,HD,IBM,INTC,JNJ,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UTX,UNH,VZ,V,WMT,WBA
Net Income Common Stockholders,"6,631,000","55,256,000","-636,000","6,093,000","2,924,000","11,621,000","11,054,000","-1,359,000","14,340,000","11,242,000","9,431,000","21,048,000","15,119,000","8,920,000","6,025,400","4,570,000","9,843,000","44,281,000","2,539,000","16,272,000","3,634,000","2,603,000","5,537,000","13,839,000","19,265,000","12,080,000","14,881,000","3,982,000"
Diluted NI Available to Com Stockholders,"6,631,000","55,256,000","-636,000","6,093,000","2,924,000","11,621,000","11,054,000","-1,359,000","14,340,000","11,242,000","9,431,000","21,048,000","15,119,000","8,920,000","6,025,400","4,570,000","9,843,000","44,281,000","2,539,000","16,273,000","3,634,000","2,603,000","5,537,000","13,839,000","19,265,000","12,080,000","14,881,000","3,982,000"
Basic EPS,0.008,0.012,-0.0011,0.0109,0.0016,0.0026,0.0067,-0.0018,0.0034,0.0103,0.0106,0.0048,0.0057,0.0021,0.0081,0.0079,0.0039,0.0058,-,0.0029,0.0015,0.01,0.0065,0.0146,0.0047,0.0053,0.0052,0.0043
Diluted EPS,0.008,0.0119,-0.0011,0.0107,0.0015,0.0026,0.0066,-0.0018,0.0034,0.0103,0.0106,0.0047,0.0056,0.0021,0.0079,0.0078,0.0038,0.0058,-,0.0029,0.0014,0.0099,0.0064,0.0143,0.0047,0.0053,0.0052,0.0043
Basic Average Shares,"828,000","4,617,834","567,857","561,600","1,882,499","4,419,000","1,656,000","742,500","4,234,000","1,093,000","887,200","4,417,000","2,645,100","4,276,000","746,300","577,000","2,539,016","7,610,000",-,"5,569,000","2,687,586","260,000","855,000","948,000","4,138,000","2,189,301","2,850,000","921,500"
Diluted Average Shares,"830,000","4,648,913","567,857","567,500","1,895,126","4,453,000","1,666,000","742,500","4,270,000","1,097,000","892,800","4,473,000","2,684,300","4,314,000","764,900","585,100","2,580,000","7,683,000",-,"5,675,000","2,687,586","262,300","864,000","966,000","4,140,000","2,272,000","2,868,000","923,500"
INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,"5,047,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Income from Continuing & Discontinued Operation,"6,759,000","55,256,000","-636,000","6,093,000","2,924,000","11,621,000","11,054,000","-1,359,000","14,340,000","11,242,000","9,431,000","21,048,000","15,119,000","8,920,000","6,025,400","4,570,000","9,843,000","44,281,000","2,539,000","16,273,000","3,897,000","2,622,000","5,537,000","13,839,000","19,265,000","12,080,000","14,881,000","3,982,000"
Normalized Income,"6,759,000","55,256,000","-1,137,510","5,937,800","2,924,000","11,885,936","7,897,758","1,321,860","14,340,000","11,242,000","9,242,904","20,045,250","15,351,218","9,292,351","5,966,747","4,608,496","10,401,715","44,281,000","2,539,000","12,627,251","9,346,285","2,622,000","5,537,000","12,345,288","22,482,193","12,067,008","14,881,000","3,982,000"
Total Money Market Investments,"588,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
