,AXP,AAPL,BA,CAT,CVX,CSCO,DIS,DOW,XOM,HD,IBM,INTC,JNJ,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UTX,UNH,VZ,V,WMT,WBA
Normalized Income,"4,072,000","57,215,000","-3,859,030","5,303,253","3,874,000","11,026,430","5,842,377","560,020","11,380,000","10,974,000","7,880,000","23,045,585","14,712,156","9,189,000","5,798,653","5,014,463","10,519,726","44,281,000","4,304,000","12,147,053","4,986,000","1,829,000","4,108,000","15,857,789","19,145,000","12,567,215","15,029,000","760,000"
Total Money Market Investments,"373,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
Reconciled Depreciation,"1,316,000","11,714,000","2,306,000","2,550,000","29,412,000","1,828,000","5,231,000","2,876,000","20,246,000","2,356,000","6,632,000","11,760,000","7,016,000","1,511,000","1,646,600","1,658,000","3,575,000","12,796,000","714,000","5,683,000","3,019,000","753,000","3,821,000","2,867,000","16,550,000","711,000","11,064,000","1,973,000"
Net Income from Continuing Operation Net Minority Interest,"4,072,000","57,215,000","-3,413,000","5,304,000","3,874,000","10,784,000","4,772,000","-1,976,000","11,380,000","10,974,000","7,880,000","23,661,000","15,185,000","9,189,000","5,803,900","4,971,000","10,147,000","44,281,000","4,304,000","15,786,000","4,986,000","1,829,000","4,108,000","17,098,000","19,145,000","12,482,000","15,029,000","760,000"
Total Unusual Items Excluding Goodwill,-,,"611,000","1,000",,"-323,000","-1,422,000","-3,474,000",,-,-,"711,000","508,000",-,"6,900","-54,000","-450,000",-,,"3,967,000",-,,,"1,605,000",-,"-105,000",-,
Total Unusual Items,-,,"611,000","1,000",,"-323,000","-1,422,000","-3,474,000",,-,-,"711,000","508,000",-,"6,900","-54,000","-450,000",-,,"3,967,000",-,,,"1,605,000",-,"-105,000",-,
Tax Rate for Calcs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tax Effect of Unusual Items,0,0,"164,970",252.6554,0,"-80,570","-351,623","-937,980",0,0,0,"95,585","35,156",0,"1,653","-10,537","-77,274",0,0,"328,053",0,0,0,"364,789",0,"-19,785",0,0
Operating Cash Flow,"2,066,000","75,373,000","-9,536,000","6,921,000","26,979,000","15,566,000","5,515,000","6,503,000","27,652,000","14,747,000","15,122,000","37,914,000","20,735,000","8,756,000","7,647,500","7,235,000","12,811,000","60,675,000",,"14,023,000","16,748,000","5,705,000","8,044,000","22,301,000","43,462,000","12,768,000","28,709,000","5,777,000"
Investing Cash Flow,"15,938,000","22,049,000","-1,142,000","-1,960,000","-12,588,000","5,690,000","-4,132,000","-1,846,000","-23,658,000","-2,543,000","-32,383,000","-22,741,000","-11,092,000","-5,581,000","-2,818,200","-5,594,000","-4,625,000","-12,223,000",,"-11,566,000","4,351,000","-4,015,000","-3,981,000","-10,306,000","-21,116,000","2,246,000","-9,689,000","-1,398,000"
Financing Cash Flow,"-3,755,000","-94,190,000","18,842,000","-4,862,000","-14,545,000","-21,159,000","438,000","-3,307,000","3,211,000","-5,471,000","-15,591,000","-9,304,000","-12,637,000","473,000","-1,682,500","-274,000","-8,737,000","-46,031,000",,"-2,218,000","-8,272,000","-1,479,000","-2,125,000","-3,244,000","-16,353,000","-12,462,000","-12,888,000","-4,472,000"
End Cash Position,"41,581,000","43,049,000","15,000,000","7,257,000","9,541,000","10,370,000","6,887,000","3,796,000","11,791,000","8,615,000",-,"8,736,000","11,382,000","10,675,000","5,435,900","4,305,000","7,526,000","13,576,000",,"2,255,000","15,565,000","627,000","8,178,000","22,496,000","9,113,000","12,834,000","15,424,000","943,000"
Capital Expenditure,"-1,494,000","-8,737,000","-1,888,000","-2,670,000","-14,296,000","-770,000","-5,019,000","-1,717,000","-25,107,000","-2,583,000","-2,914,000","-16,014,000","-3,292,000","-1,823,000","-2,360,900","-1,640,000","-3,864,000","-15,441,000",,"-2,471,000","-3,229,000",,"-2,647,000","-2,014,000","-22,322,000","-850,000","-10,252,000","-1,418,000"
Issuance of Capital Stock,"53,000","821,000",,-,-,"654,000",,"89,000",-,"264,000",-,,,"854,000",,"481,000",,"1,343,000",,,,,-,-,-,,,
Issuance of Debt,"3,526,000","13,247,000","37,585,000","9,317,000","10,693,000","720,000","38,291,000","3,275,000","20,225,000","8,380,000",-,"13,038,000","2,744,000","28,266,000","7,525,100","5,761,000",0,-,,"23,564,000","4,950,000","490,000","17,263,000",-,"20,585,000","1,001,000","1,514,000","18,478,000"
Repayment of Debt,"-13,170,000","-11,555,000","-13,651,000","-8,196,000","-11,611,000","-6,750,000","-38,927,000","-3,799,000","-1,802,000","-1,089,000",-,"-4,369,000","-1,934,000","-20,876,000","-1,909,600","-2,470,000","-1,951,000","-5,518,000",,"-17,595,000","-1,501,000",0,"-16,917,000",-,"-24,584,000",-,"-1,543,000","-20,000,000"
Repurchase of Capital Stock,"-3,698,000","-73,679,000",-,"-4,357,000",-,"-8,114,000",-,"-320,000","-478,000","-6,388,000","-413,000","-12,226,000","-4,471,000","-507,000","-4,882,700","-1,071,000","-4,971,000","-22,968,000",,0,"-9,155,000","-1,222,000","-169,000","-2,690,000",-,"-9,779,000","-4,305,000","-1,808,000"
Free Cash Flow,"572,000","66,636,000","-11,424,000","4,251,000","12,683,000","14,796,000","496,000","4,786,000","2,545,000","12,164,000","12,208,000","21,900,000","17,443,000","6,933,000","5,286,600","5,595,000","8,947,000","45,234,000",,"11,552,000","13,519,000","5,705,000","5,397,000","20,287,000","21,140,000","11,918,000","18,457,000","4,359,000"
Working Capital,,"57,101,000","4,917,000","12,572,000","1,799,000","16,043,000","-3,217,000","6,136,000","-13,937,000","1,435,000","719,000","8,929,000","9,310,000","-6,562,000","-63,100","3,749,000","5,263,000","109,605,000","12,272,000","-4,501,000","-7,538,000",,"2,911,000","-19,148,000","-7,395,000","7,555,000","-15,984,000","-7,069,000"
Cost of Revenue,,"165,854,000","70,216,000","35,632,000","105,331,000","18,002,000","49,575,000","33,935,000","197,482,000","73,924,000","39,441,000","33,259,000","27,642,000","13,717,000","9,861,100","16,935,000","14,372,000","46,078,000","21,881,000","10,164,000","35,246,000",,"56,766,000","182,321,000","53,060,000","4,406,000","403,597,000","110,304,000"
Gross Profit,,"102,127,000","334,000","15,337,000","30,050,000","32,573,000","28,637,000","5,157,000","51,589,000","38,180,000","36,057,000","45,696,000","52,861,000","20,609,000","10,905,700","15,413,000","33,709,000","96,937,000","17,948,000","40,496,000","35,100,000",,"20,125,000","63,885,000","76,666,000","19,479,000","131,064,000","28,441,000"
Operating Expense,,"36,536,000","6,623,000","7,850,000","30,613,000","18,116,000","19,381,000","2,538,000","42,436,000","22,658,000","27,322,000","19,337,000","32,733,000","11,138,000","2,320,100","8,820,000","20,895,000","43,978,000","12,967,000","26,867,000","19,722,000",,"11,397,000","41,144,000","47,815,000","3,517,000","110,217,000","27,243,000"
Operating Income,,"65,591,000","-6,289,000","7,487,000","-563,000","14,457,000","9,256,000","2,619,000","9,153,000","15,522,000","8,735,000","26,359,000","20,128,000","9,471,000","8,585,600","6,593,000","12,814,000","52,959,000","4,981,000","13,629,000","15,378,000",,"8,728,000","22,741,000","28,851,000","15,962,000","20,847,000","1,198,000"
Net Non Operating Interest Income Expense,,"1,172,000","-861,000","-431,000","-795,000","368,000","-1,310,000","-807,000","-812,000","-1,162,000","-1,324,000","-138,000","53,000","-432,000","-1,095,400","-397,000","-686,000",-,"-53,000","-1,409,000","-234,000",,"-1,560,000","-1,753,000","-4,367,000","-477,000","-2,334,000","-657,000"
Other Income Expense,,"328,000","1,055,000","5,000","7,022,000","-457,000","-978,000","-3,358,000","7,254,000",-,"-377,000","1,115,000","-3,917,000","1,680,000","141,300","-5,000","107,000","77,000","164,000","5,022,000","-7,836,000",,"208,000","1,605,000","-1,986,000","-105,000","1,842,000","375,000"
Total Operating Income as Reported,,"65,591,000","-5,678,000","7,487,000",,"14,063,000",,,,"15,522,000",,"25,979,000",,"9,024,000","8,669,400","6,701,000",,"52,959,000",,,"7,033,000",,"8,728,000","24,346,000","28,759,000","15,583,000","20,847,000","1,540,000"
Total Expenses,,"202,390,000","76,839,000","43,482,000","135,944,000","36,118,000","68,956,000","36,473,000","239,918,000","96,582,000","66,763,000","52,596,000","60,375,000","24,855,000","12,181,200","25,755,000","35,267,000","90,056,000","34,848,000","37,031,000","54,968,000","29,244,000","68,163,000","223,465,000","100,875,000","7,923,000","513,814,000","137,547,000"
Interest Income,,"4,390,000",,,,"1,038,000","302,000","63,000",,"75,000",-,"399,000","256,000","500,000","32,400","70,000","210,000",,,"194,000","185,000",,"163,000",,-,,"184,000",
Interest Expense,,"3,218,000","861,000","431,000","735,000","670,000","1,612,000","870,000","898,000","1,237,000","1,435,000","537,000","203,000","932,000","1,127,800","467,000","896,000",-,,"1,603,000","419,000","336,000","1,723,000","1,753,000","4,428,000",-,"2,518,000","657,000"
Net Interest Income,,"1,172,000","-861,000","-431,000","-735,000","368,000","-1,310,000","-807,000","-898,000","-1,162,000","-1,324,000","-138,000","53,000","-432,000","-1,095,400","-397,000","-686,000",-,"-53,000","-1,409,000","-234,000",,"-1,560,000","-1,753,000","-4,367,000","-477,000","-2,334,000","-657,000"
EBIT,,"70,309,000","-5,234,000","7,492,000","6,459,000","15,038,000","8,580,000","-676,000","16,407,000","15,597,000","8,472,000","27,873,000","16,517,000","11,651,000","8,759,500","6,658,000","13,131,000","52,959,000","4,981,000","18,847,000","7,727,000","2,477,000","9,099,000","24,346,000","26,926,000","15,841,000","22,873,000","1,571,000"
EBITDA,,"82,023,000","-2,928,000","10,042,000","35,871,000","16,866,000","13,811,000","2,200,000","36,653,000","17,953,000","15,104,000","39,633,000","23,533,000","13,162,000","10,406,100","8,316,000","16,706,000","65,755,000","5,695,000","24,530,000","10,746,000",,"12,920,000","27,213,000","43,476,000","16,552,000","33,937,000","3,544,000"
Reconciled Cost of Revenue,,"165,854,000","70,216,000","35,632,000","105,331,000","16,320,000","49,575,000","31,458,000","197,482,000","73,597,000","39,441,000","33,259,000","27,642,000","13,717,000","9,861,100","16,935,000","14,372,000","46,078,000","21,881,000","8,793,000","35,246,000",,"56,766,000","182,321,000","53,060,000","4,406,000","403,597,000","110,304,000"
Normalized EBITDA,,"82,023,000","-3,539,000","10,041,000","35,871,000","17,189,000","15,233,000","5,674,000","36,653,000","17,953,000","15,104,000","38,922,000","23,025,000","13,162,000","10,399,200","8,370,000","17,156,000","65,755,000","5,695,000","20,563,000","10,746,000",,"12,920,000","25,608,000","43,476,000","16,657,000","33,937,000","3,544,000"
Income Tax Paid Supplemental Data,,"13,271,000",,,"5,041,000","3,178,000",-,-,,"3,192,000",-,"1,572,000",-,,-,-,,,,"3,668,000",-,"120,000",-,-,,"2,958,000",-,
Interest Paid Supplemental Data,,"3,350,000",,,"730,000","651,000",-,-,,"1,105,000",-,"478,000",-,,-,-,,,,"1,674,000",-,"333,000",-,-,,"537,000",-,
Earnings from Equity Interest Net of Tax,,,,"26,000",,,,,,,,,,,,,,,,,,,,,,,,"18,000"
Cash Flow from Discontinued Operation,,,,,,,"603,000",,,,,,,,,,,,,,,,,,,,,
Average Dilution Earnings,,,,,,,,,,,-,,,,,,,,,-,-,,,,,-,,
Rent Expense Supplemental,,,,,,,,,,,,,,,"4,297,600",,,,,,,,,,,,,
Preferred Stock Equity,,,,,,,,,,,,,,,,,,,,"17,000","928,000",,,,,"5,462,000",,
