date,1a. open (CNY),1b. open (USD),2a. high (CNY),2b. high (USD),3a. low (CNY),3b. low (USD),4a. close (CNY),4b. close (USD),5. volume,6. market cap (USD)
2020-05-14,65820.82824,9309.35,70272.7056,9939.0,65448.995904,9256.76,69233.215392,9791.98,129565.37747,129565.37747
2020-05-13,62297.223696,8810.99,66447.6192,9398.0,62169.956496,8792.99,65820.969648,9309.37,92466.274018,92466.274018
2020-05-12,60537.047616,8562.04,63479.889504,8978.26,60301.886112,8528.78,62295.809616,8810.79,86522.780066,86522.780066
2020-05-11,61673.473008,8722.77,64821.4272,9168.0,57977.28,8200.0,60533.371008,8561.52,168807.251832,168807.251832
2020-05-10,67445.25264,9539.1,67697.878032,9574.83,57390.4368,8117.0,61673.473008,8722.77,183865.182028,183865.182028
2020-05-09,69290.061408,9800.02,70097.7132,9914.25,67310.208,9520.0,67447.37376,9539.4,81950.679567,81950.679567
2020-05-08,70607.13552,9986.3,70958.251584,10035.96,68618.232,9705.0,69289.990704,9800.01,100683.7964,100683.7964
2020-05-07,64647.49536,9143.4,71177.7168,10067.0,63782.0784,9021.0,70607.84256,9986.4,147154.611378,147154.611378
2020-05-06,63784.623744,9021.36,66426.408,9395.0,62970.467184,8906.21,64644.101568,9142.92,105925.30242,105925.30242
2020-05-05,62728.023168,8871.92,64472.008032,9118.58,61936.704,8760.0,63787.946832,9021.83,76480.765342,76480.765342
2020-05-04,62885.19816,8894.15,63280.08,8950.0,60253.9488,8522.0,62728.305984,8871.96,84418.512331,84418.512331
2020-05-03,63439.729632,8972.58,65047.68,9200.0,61597.3248,8712.0,62885.268864,8894.16,90126.065643,90126.065643
2020-05-02,62401.017168,8825.67,63704.304,9010.0,61887.2112,8753.0,63435.98232,8972.05,59002.08755,59002.08755
2020-05-01,60946.848,8620.0,64052.026272,9059.18,60901.314624,8613.56,62410.137984,8826.96,91468.815059,91468.815059
2020-04-30,62068.072032,8778.58,66885.984,9460.0,59398.4304,8401.0,60946.848,8620.0,206277.214124,206277.214124
2020-04-29,54714.856032,7738.58,63300.513456,8952.89,54513.13752,7710.05,62068.001328,8778.57,183546.887514,183546.887514
2020-04-28,54961.825104,7773.51,55007.712,7780.0,54153.042048,7659.12,54717.684192,7738.98,46302.752638,46302.752638
2020-04-27,54393.29424,7693.1,55092.698208,7792.02,53777.4624,7606.0,54969.673248,7774.62,65441.339576,65441.339576
2020-04-26,53303.957712,7539.03,54442.08,7700.0,52886.592,7480.0,54393.29424,7693.1,50522.616209,50522.616209
2020-04-25,53063.352,7505.0,54477.432,7705.0,52540.637328,7431.07,53301.412368,7538.67,43874.427726,43874.427726
2020-04-24,52914.590784,7483.96,53847.883584,7615.96,52236.1152,7388.0,53063.352,7505.0,60182.119939,60182.119939
2020-04-23,50377.448448,7125.12,54710.7552,7738.0,49634.208,7020.0,52903.490256,7482.39,102773.569561,102773.569561
2020-04-22,48371.151744,6841.36,50598.469152,7156.38,48205.9872,6818.0,50377.589856,7125.14,61486.377334,61486.377334
2020-04-21,48283.620192,6828.98,49068.576,6940.0,47810.0448,6762.0,48371.222448,6841.37,60109.710808,60109.710808
2020-04-20,50351.14656,7121.4,51048.288,7220.0,47732.2704,6751.0,48268.418832,6826.83,90149.49137,90149.49137
2020-04-19,51250.50144,7248.6,51374.58696,7266.15,49885.91424,7055.6,50346.480096,7120.74,45664.86393,45664.86393
2020-04-18,49682.145312,7026.78,51564.992832,7293.08,49594.61376,7014.4,51250.50144,7248.6,49488.542819,49488.542819
2020-04-17,50213.910096,7101.99,50540.067648,7148.12,49301.757792,6972.98,49687.58952,7027.55,54126.509763,54126.509763
2020-04-16,46814.886,6621.25,50836.176,7190.0,45733.256208,6468.27,50213.556576,7101.94,125009.857539,125009.857539
2020-04-15,48563.537328,6868.57,49019.0832,6933.0,46699.992,6605.0,46814.815296,6621.24,61571.384994,61571.384994
2020-04-14,48347.678016,6838.04,49337.2512,6978.0,47755.461312,6754.28,48564.45648,6868.7,69068.623285,69068.623285
2020-04-13,48812.556816,6903.79,48812.556816,6903.79,46487.88,6575.0,48346.758864,6837.91,96415.476573,96415.476573
2020-04-12,48622.009536,6876.84,50744.2608,7177.0,47937.312,6780.0,48812.556816,6903.79,73868.666501,73868.666501
2020-04-11,48495.307968,6858.92,49098.97872,6944.3,47795.904,6760.0,48621.938832,6876.83,45470.293206,45470.293206
2020-04-10,51497.541216,7283.54,51583.8708,7295.75,47654.354592,6739.98,48495.307968,6858.92,104674.623375,104674.623375
2020-04-09,52039.982304,7360.26,52122.423168,7371.92,50256.968832,7108.08,51497.541216,7283.54,61094.872417,61094.872417
2020-04-08,50887.931328,7197.32,52462.368,7420.0,50553.36,7150.0,52047.194112,7361.28,76059.145838,76059.145838
2020-04-07,51825.32496,7329.9,52742.992176,7459.69,50037.2208,7077.0,50887.931328,7197.32,103585.168918,103585.168918
2020-04-06,47886.263712,6772.78,52003.781856,7355.14,47831.256,6765.0,51825.32496,7329.9,118052.000832,118052.000832
2020-04-05,48484.631664,6857.41,48754.226016,6895.54,47212.737408,6677.52,47886.263712,6772.78,49685.356983,49685.356983
2020-04-04,47604.791088,6732.97,49424.994864,6990.41,47018.230704,6650.01,48481.662096,6856.99,72990.861139,72990.861139
