date,open,high,low,close,volume
2020-07-30 20:00:00,205.1,205.21,205.1,205.2,1882.0
2020-07-30 19:59:00,204.99,204.99,204.99,204.99,910.0
2020-07-30 19:58:00,204.95,204.95,204.95,204.95,475.0
2020-07-30 19:57:00,204.99,204.99,204.85,204.92,585.0
2020-07-30 19:55:00,204.96,204.96,204.96,204.96,1870.0
2020-07-30 19:54:00,205.0,205.0,205.0,205.0,295.0
2020-07-30 19:53:00,205.0,205.0,205.0,205.0,462.0
2020-07-30 19:52:00,205.0,205.05,204.99,205.0,1312.0
2020-07-30 19:51:00,205.08,205.08,205.08,205.08,348.0
2020-07-30 19:50:00,205.09,205.09,205.09,205.09,513.0
2020-07-30 19:47:00,205.22,205.22,204.96,204.96,1574.0
2020-07-30 19:46:00,205.1,205.22,205.1,205.22,1269.0
2020-07-30 19:45:00,205.01,205.08,204.96,205.08,1561.0
2020-07-30 19:44:00,205.0,205.0,205.0,205.0,2778.0
2020-07-30 19:43:00,204.95,204.98,204.95,204.98,1721.0
2020-07-30 19:41:00,204.81,204.81,204.81,204.81,346.0
2020-07-30 19:40:00,204.9,204.98,204.9,204.98,1940.0
2020-07-30 19:39:00,204.9,204.9,204.9,204.9,160.0
2020-07-30 19:38:00,204.9,204.9,204.79,204.79,527.0
2020-07-30 19:37:00,204.79,204.89,204.79,204.89,1090.0
2020-07-30 19:36:00,204.9,204.9,204.81,204.9,589.0
2020-07-30 19:35:00,204.94,204.94,204.9,204.9,329.0
2020-07-30 19:31:00,204.86,204.9,204.85,204.9,1533.0
2020-07-30 19:29:00,204.73,204.73,204.73,204.73,165.0
2020-07-30 19:28:00,204.8,204.88,204.65,204.65,850.0
2020-07-30 19:27:00,204.9,204.9,204.9,204.9,280.0
2020-07-30 19:26:00,204.78,204.8,204.78,204.8,2851.0
2020-07-30 19:25:00,204.75,204.75,204.75,204.75,831.0
2020-07-30 19:24:00,204.69,204.75,204.69,204.75,1106.0
2020-07-30 19:23:00,204.61,204.61,204.61,204.61,214.0
2020-07-30 19:22:00,204.65,204.65,204.65,204.65,186.0
2020-07-30 19:21:00,204.6,204.64,204.59,204.64,1461.0
2020-07-30 19:20:00,204.6,204.6,204.6,204.6,545.0
2020-07-30 19:19:00,204.58,204.6,204.58,204.6,5908.0
2020-07-30 19:18:00,204.6,204.6,204.6,204.6,286.0
2020-07-30 19:17:00,204.55,204.6,204.55,204.6,2344.0
2020-07-30 19:16:00,204.57,204.57,204.54,204.54,207.0
2020-07-30 19:15:00,204.5,204.56,204.5,204.56,888.0
2020-07-30 19:14:00,204.49,204.5,204.42,204.42,1134.0
2020-07-30 19:12:00,204.4,204.45,204.4,204.45,322.0
2020-07-30 19:11:00,204.42,204.42,204.42,204.42,480.0
2020-07-30 19:10:00,204.42,204.45,204.42,204.45,1098.0
2020-07-30 19:09:00,204.45,204.45,204.45,204.45,2510.0
2020-07-30 19:08:00,204.45,204.45,204.45,204.45,360.0
2020-07-30 19:07:00,204.45,204.45,204.45,204.45,127.0
2020-07-30 19:06:00,204.43,204.46,204.42,204.45,2031.0
2020-07-30 19:05:00,204.59,204.59,204.43,204.43,491.0
2020-07-30 19:04:00,204.55,204.57,204.43,204.43,2197.0
2020-07-30 19:03:00,204.5,204.6,204.5,204.6,832.0
2020-07-30 19:00:00,204.6,204.6,204.6,204.6,782.0
2020-07-30 18:59:00,204.47,204.56,204.42,204.56,2061.0
2020-07-30 18:58:00,204.42,204.42,204.4,204.4,925.0
2020-07-30 18:57:00,204.41,204.42,204.41,204.41,1644.0
2020-07-30 18:56:00,204.5,204.5,204.4,204.4,1401.0
2020-07-30 18:55:00,204.58,204.58,204.43,204.47,2541.0
2020-07-30 18:54:00,204.58,204.58,204.5,204.5,1903.0
2020-07-30 18:53:00,204.55,204.55,204.55,204.55,455.0
2020-07-30 18:49:00,204.6,204.6,204.6,204.6,982.0
2020-07-30 18:48:00,204.65,204.65,204.56,204.56,3063.0
2020-07-30 18:47:00,204.66,204.66,204.66,204.66,354.0
2020-07-30 18:46:00,204.77,204.77,204.65,204.65,279.0
2020-07-30 18:45:00,204.62,204.62,204.62,204.62,441.0
2020-07-30 18:44:00,204.8,204.8,204.8,204.8,392.0
2020-07-30 18:43:00,204.63,204.65,204.58,204.65,1482.0
2020-07-30 18:42:00,204.68,204.68,204.65,204.65,2328.0
2020-07-30 18:41:00,204.85,204.87,204.8,204.8,1694.0
2020-07-30 18:40:00,204.82,204.89,204.8,204.89,1501.0
2020-07-30 18:39:00,204.83,204.83,204.83,204.83,832.0
2020-07-30 18:38:00,204.85,204.85,204.83,204.83,1251.0
2020-07-30 18:37:00,205.0,205.0,205.0,205.0,303.0
2020-07-30 18:35:00,204.81,204.81,204.81,204.81,242.0
2020-07-30 18:33:00,204.83,204.83,204.82,204.82,877.0
2020-07-30 18:32:00,204.92,204.92,204.92,204.92,1450.0
2020-07-30 18:31:00,204.93,204.93,204.93,204.93,373.0
2020-07-30 18:29:00,205.05,205.05,205.05,205.05,219.0
2020-07-30 18:27:00,205.0,205.0,205.0,205.0,2899.0
2020-07-30 18:26:00,205.0,205.0,205.0,205.0,855.0
2020-07-30 18:25:00,204.93,204.93,204.93,204.93,298.0
2020-07-30 18:24:00,205.0,205.0,204.93,204.93,446.0
2020-07-30 18:23:00,205.01,205.01,205.0,205.0,8253.0
2020-07-30 18:22:00,205.0,205.0,205.0,205.0,1319.0
2020-07-30 18:21:00,205.01,205.01,205.01,205.01,887.0
2020-07-30 18:20:00,204.93,205.01,204.93,205.01,928.0
2020-07-30 18:18:00,205.0,205.0,205.0,205.0,2238.0
2020-07-30 18:17:00,205.05,205.05,205.05,205.05,581.0
2020-07-30 18:16:00,205.07,205.07,205.07,205.07,788.0
2020-07-30 18:15:00,205.15,205.15,205.07,205.07,532.0
2020-07-30 18:14:00,205.07,205.15,205.07,205.15,670.0
2020-07-30 18:12:00,205.07,205.07,205.07,205.07,484.0
2020-07-30 18:11:00,205.0,205.2,205.0,205.2,2652.0
2020-07-30 18:10:00,205.2,205.2,205.05,205.05,1853.0
2020-07-30 18:09:00,205.18,205.18,205.18,205.18,652.0
2020-07-30 18:08:00,205.21,205.21,205.18,205.18,1432.0
2020-07-30 18:07:00,205.38,205.38,205.25,205.25,528.0
2020-07-30 18:06:00,205.38,205.38,205.3,205.3,560.0
2020-07-30 18:05:00,205.29,205.4,205.29,205.3,3862.0
2020-07-30 18:04:00,205.08,205.08,205.08,205.08,846.0
2020-07-30 18:03:00,205.3,205.45,205.21,205.3,3389.0
2020-07-30 18:02:00,205.35,205.5,205.25,205.32,2808.0
2020-07-30 18:01:00,205.3,205.3,205.1,205.12,2406.0
2020-07-30 18:00:00,205.3,205.3,205.3,205.3,942.0
2020-07-30 17:59:00,205.2,205.2,205.15,205.15,3144.0
2020-07-30 17:58:00,205.15,205.2,205.01,205.19,4413.0
2020-07-30 17:57:00,205.04,205.04,205.04,205.04,488.0
2020-07-30 17:56:00,205.2,205.2,205.02,205.03,2018.0
2020-07-30 17:55:00,205.0,205.2,205.0,205.2,3900.0
2020-07-30 17:54:00,204.85,205.08,204.85,205.08,819.0
2020-07-30 17:53:00,204.87,204.87,204.87,204.87,570.0
2020-07-30 17:52:00,205.1,205.14,205.1,205.1,1858.0
2020-07-30 17:51:00,204.84,205.01,204.84,205.01,14613.0
2020-07-30 17:50:00,204.8,204.8,204.8,204.8,529.0
2020-07-30 17:49:00,204.94,204.94,204.87,204.87,772.0
2020-07-30 17:47:00,204.95,204.95,204.9499,204.9499,997.0
2020-07-30 17:46:00,204.8,204.8,204.8,204.8,548.0
2020-07-30 17:45:00,204.94,204.97,204.84,204.97,1460.0
2020-07-30 17:44:00,204.83,204.98,204.78,204.78,1144.0
2020-07-30 17:43:00,204.76,204.99,204.76,204.85,3376.0
2020-07-30 17:42:00,204.83,205.0,204.65,204.65,5830.0
2020-07-30 17:40:00,204.71,204.71,204.65,204.65,1725.0
2020-07-30 17:39:00,204.71,204.71,204.7,204.7,2297.0
2020-07-30 17:38:00,204.7,204.7,204.7,204.7,799.0
2020-07-30 17:36:00,204.8,204.8,204.7,204.7,643.0
2020-07-30 17:35:00,204.75,204.8,204.7,204.7,1569.0
2020-07-30 17:34:00,204.75,204.75,204.75,204.75,535.0
2020-07-30 17:33:00,204.76,204.76,204.75,204.75,1835.0
2020-07-30 17:32:00,204.8,204.88,204.77,204.77,701.0
2020-07-30 17:31:00,204.8,204.8,204.8,204.8,614.0
2020-07-30 17:30:00,204.85,204.85,204.76,204.76,1186.0
2020-07-30 17:29:00,204.84,204.85,204.83,204.85,1956.0
2020-07-30 17:28:00,204.81,204.84,204.81,204.84,1219.0
2020-07-30 17:27:00,204.81,204.81,204.81,204.81,410.0
2020-07-30 17:26:00,204.76,204.8,204.76,204.8,1117.0
2020-07-30 17:25:00,204.9,204.9,204.85,204.85,962.0
2020-07-30 17:24:00,204.89,204.89,204.85,204.85,1444.0
2020-07-30 17:23:00,204.85,204.85,204.85,204.85,889.0
2020-07-30 17:22:00,204.85,204.85,204.76,204.76,724.0
2020-07-30 17:21:00,204.86,204.86,204.86,204.86,637.0
2020-07-30 17:20:00,204.99,204.99,204.8,204.8,2351.0
2020-07-30 17:19:00,204.87,204.9,204.87,204.9,786.0
2020-07-30 17:18:00,204.8,204.98,204.8,204.98,1372.0
2020-07-30 17:17:00,204.9,204.9,204.9,204.9,1494.0
2020-07-30 17:16:00,204.99,204.99,204.99,204.99,544.0
2020-07-30 17:15:00,205.0,205.1,204.99,205.1,3585.0
2020-07-30 17:14:00,204.86,205.0,204.86,205.0,6604.0
2020-07-30 17:13:00,204.75,204.93,204.73,204.93,3306.0
2020-07-30 17:12:00,204.85,204.85,204.75,204.75,1976.0
2020-07-30 17:11:00,204.75,204.9399,204.73,204.86,1499.0
2020-07-30 17:10:00,204.76,204.95,204.76,204.88,1685.0
2020-07-30 17:09:00,204.943,204.943,204.75,204.75,1014.0
