Date,MSFT,AMZN,AAPL,CSCO,IBM,FB
2010-06-28,19.204519271850586,117.80000305175781,33.18094253540039,17.19264793395996,93.13042449951172,
2010-06-29,18.414533615112305,108.61000061035156,31.680810928344727,16.579164505004883,90.32161712646484,
2010-06-30,18.177536010742188,109.26000213623047,31.10698890686035,16.341442108154297,89.15910339355469,
2010-07-01,18.29604148864746,110.95999908447266,30.72979164123535,16.303098678588867,88.50205993652344,
2010-07-02,18.382936477661133,109.13999938964844,30.53933334350586,16.203413009643555,87.98938751220703,
2010-07-06,18.817426681518555,110.05999755859375,30.748334884643555,16.364450454711914,89.1446762084961,
2010-07-07,19.196619033813477,113.43000030517578,31.9899845123291,17.23865509033203,91.70072174072266,
2010-07-08,19.28351402282715,116.22000122070312,31.91826629638672,17.292329788208008,92.401123046875,
2010-07-09,19.17292022705078,117.26000213623047,32.107479095458984,17.40736198425293,92.3939437866211,
2010-07-12,19.615314483642578,119.51000213623047,31.819332122802734,17.530048370361328,92.9065933227539,
2010-07-13,19.852304458618164,123.6500015258789,31.140363693237305,17.706424713134766,94.21346282958984,
2010-07-14,20.097204208374023,123.30000305175781,31.25539207458496,18.204875946044922,94.38677978515625,
2010-07-15,20.152503967285156,122.05999755859375,31.097084045410156,18.342905044555664,94.38677978515625,
2010-07-16,19.662710189819336,118.48999786376953,30.905406951904297,17.445697784423828,92.44444274902344,
2010-07-19,19.931303024291992,119.94000244140625,30.371145248413086,17.430362701416016,93.71527099609375,
2010-07-20,20.128799438476562,120.0999984741211,31.15150260925293,17.675748825073242,91.37581634521484,
2010-07-21,19.844406127929688,117.43000030517578,31.442121505737305,17.299997329711914,90.45159149169922,
2010-07-22,20.413196563720703,120.06999969482422,32.03328323364258,17.84445571899414,92.04010772705078,
2010-07-23,20.389497756958008,118.87000274658203,32.14704513549805,17.90580177307129,92.69718933105469,
2010-07-26,20.61859130859375,118.4000015258789,32.0654296875,18.10518455505371,92.71883392333984,
2010-07-27,20.66599464416504,117.12999725341797,32.6590461730957,17.86746597290039,92.87767791748047,
2010-07-28,20.50009536743164,117.12999725341797,32.273189544677734,17.936479568481445,92.73326873779297,
2010-07-29,20.563297271728516,116.86000061035156,31.920740127563477,17.798450469970703,92.43722534179688,
2010-07-30,20.389497756958008,117.88999938964844,31.814382553100586,17.691091537475586,92.71159362792969,
2010-08-02,20.80028533935547,120.06999969482422,32.383262634277344,18.250879287719727,94.41566467285156,
2010-08-03,20.66599464416504,122.41999816894531,32.39315414428711,18.266223907470703,94.1340560913086,
2010-08-04,20.326295852661133,127.58000183105469,32.52302932739258,18.511608123779297,94.7839126586914,
2010-08-05,20.04190444946289,127.83000183105469,32.36471939086914,18.53462028503418,95.18827056884766,
2010-08-06,20.184097290039062,128.32000732421875,32.16560363769531,18.457935333251953,94.43362426757812,
2010-08-09,20.231494903564453,128.8300018310547,32.37089538574219,18.994722366333008,95.78327941894531,
2010-08-10,19.804903030395508,130.0,32.08151626586914,18.6419734954834,95.66715240478516,
2010-08-11,19.639013290405273,125.88999938964844,30.941259384155273,18.19720458984375,94.20864868164062,
2010-08-12,19.346717834472656,126.55999755859375,31.139137268066406,16.379789352416992,93.09845733642578,
2010-08-13,19.275617599487305,124.69000244140625,30.80646324157715,16.379789352416992,92.78641510009766,
2010-08-16,19.354610443115234,126.06999969482422,30.625905990600586,16.801551818847656,92.7138442993164,
2010-08-17,19.624645233154297,128.86000061035156,31.161399841308594,16.908910751342773,93.20728302001953,
2010-08-18,19.712003707885742,129.64999389648438,31.29743003845215,17.184974670410156,93.8893814086914,
2010-08-19,19.41020965576172,127.56999969482422,30.90292739868164,17.039270401000977,93.53382110595703,
2010-08-20,19.243431091308594,127.76000213623047,30.873239517211914,17.04694175720215,92.5179443359375,
2010-08-23,19.283143997192383,126.5999984741211,30.398338317871094,16.625179290771484,91.77051544189453,
2010-08-24,19.092529296875,124.52999877929688,29.67239761352539,16.203413009643555,90.63129425048828,
2010-08-25,19.14018440246582,126.8499984741211,30.038467407226562,16.26475715637207,90.89977264404297,
2010-08-26,18.917804718017578,124.86000061035156,29.71567726135254,15.87367057800293,89.09297180175781,
2010-08-27,19.005176544189453,126.63999938964844,29.881397247314453,15.958019256591797,90.50794982910156,
2010-08-30,18.774852752685547,123.79000091552734,29.99022674560547,15.582266807556152,89.5428466796875,
2010-08-31,18.639842987060547,124.83000183105469,30.064435958862305,15.32921314239502,89.3469467163086,
2010-09-01,18.981342315673828,132.49000549316406,30.958572387695312,15.536252975463867,91.26258087158203,
2010-09-02,19.013113021850586,135.2100067138672,31.186124801635742,15.735637664794922,90.7328872680664,
2010-09-03,19.291078567504883,138.7899932861328,32.00235366821289,16.1343994140625,92.57601165771484,
2010-09-07,19.028993606567383,137.22000122070312,31.883636474609375,15.781648635864258,91.39320373535156,
2010-09-08,19.005176544189453,139.13999938964844,32.51560974121094,15.827661514282227,91.48756408691406,
2010-09-09,19.068700790405273,140.3800048828125,32.53414535522461,15.80465030670166,91.69073486328125,
2010-09-10,18.941633224487305,142.44000244140625,32.576194763183594,15.812321662902832,92.87350463867188,
2010-09-13,19.942331314086914,145.07000732421875,33.02511978149414,16.303098678588867,94.04903411865234,
2010-09-14,19.878786087036133,145.75,33.15125274658203,16.44880485534668,93.4975357055664,
2010-09-15,19.95026206970215,145.4499969482422,33.41840362548828,16.55615997314453,93.91839599609375,
2010-09-16,20.117050170898438,148.1300048828125,34.203704833984375,16.816890716552734,94.09257507324219,
