episode,steps,reward_0,reward_1,loss_0,loss_1,collisions_0,collisions_1
0,26,-0.05591229077551296,-1.9400293163497533,0.0025758393830122355,0.0,0.0,0.0
0,60,-0.022913401804776357,-0.8793756227084037,4.293065638353726e-05,39.73344850937812,0.0,0.0
1,60,-0.010814235634799182,-0.44021167735687483,3.273145220936077,0.33111207091148437,0.0,0.0
1,87,-0.36403146577131856,0.020827207859810577,0.022266294019973314,0.6033644294527732,0.0,0.0
2,28,-0.30528454302208774,-0.012005635152087706,15.696432200140688,0.003447796739730133,0.0,0.0
2,107,-0.030282867316774886,-0.17705013563334443,0.06179697716590822,10.481290740485397,0.0,0.0
3,59,-0.027216256656917175,-0.1429654962806388,0.01822146526796762,0.033486551886534814,0.0,0.0
3,85,-0.15134190622196225,0.0031312628547452734,5.375063500875404e-05,0.001445659227780761,0.0,0.0
4,9,-0.14756378774651197,0.003459734173617666,7.179169815865863,4.154193183278049e-06,0.0,0.0
4,10,-0.14378870014509004,-0.001021191652774031,0.020570687151478115,40.26714031411304,0.0,0.0
5,14,-0.14369515798290605,0.005555185829192907,6.982415619972441,0.1109287611959037,0.0,0.0
5,35,-0.005981080618107579,-0.1296936840567932,0.018183374010344897,6.88571341489724,0.0,0.0
6,6,-0.0023712141924331796,-0.13115794780613282,0.00040785923652374433,0.017655675422813436,0.0,0.0
6,16,-0.0027636214406006176,-0.12612495872425517,1.0196480913093608e-06,6.499722515532341,0.0,0.0
7,3,-0.12573801363611606,-0.0021458721835783284,6.258819935164956,0.016128343710998364,0.0,0.0
7,13,-0.12543546594221033,0.004060444426908401,0.01515452768805074,0.0007229798359148543,0.0,0.0
8,13,-0.12237207385359207,0.0009779083915775638,5.903151904258016,1.6971357650583433e-06,0.0,0.0
8,19,-0.11630318829273038,-0.11850319212068311,0.013664703482078742,6.019276248846677,0.0,0.0
9,11,-0.0013491161276906925,-0.11821312672756389,7.962322667084372e-05,0.01358753103577128,0.0,0.0
9,19,-0.001545095674858968,-0.11213386238624735,1.765481744364606e-07,5.761354191338329,0.0,0.0
10,3,-0.1108817230164466,0.0004991702453868739,5.531257318585456,0.012690207469908213,0.0,0.0
10,9,-0.0014329076675160713,-0.11377283533455777,0.012024472431707513,5.645245395838392,0.0,0.0
11,1,-0.00036993596911461885,-0.11060331565273594,8.811679836827445e-05,0.012245651617870699,0.0,0.0
11,5,-0.10866270661697194,0.0008971727425163529,1.8949849111456873e-07,0.0001761013643285168,0.0,0.0
12,7,-0.002568197531613666,-0.10669307345134606,0.0003689161074204393,3.730961108655017e-07,0.0,0.0
12,12,-0.10666268805720433,0.001611825853885756,7.73409030231529e-07,0.0003214310836880933,0.0,0.0
13,7,-0.0004418855819637103,-0.10580968387378853,3.475529837152214e-06,6.641138092729201e-07,0.0,0.0
13,25,-0.10172992470148924,0.00020985393601312646,6.923366209466562e-09,0.001418156197354066,0.0,0.0
14,4,-0.09992822294470904,0.0009133611447772659,4.9633230756102495,2.802680231925032e-06,0.0,0.0
14,7,-0.09854391668579461,0.00011756135809337969,0.009751125885285362,2.303084356132098e-06,0.0,0.0
15,4,-0.000500122635556689,-0.1039459295506234,3.123000981071997e-05,4.489443189341322e-09,0.0,0.0
15,8,-0.09810162118402951,0.0011877990327989944,6.040620853137325e-08,0.000249326282962771,0.0,0.0
16,1,-0.09697264740033823,0.0002604585544864476,4.852105901391498,4.813248705845e-07,0.0,0.0
