episode,steps,reward_0,reward_1,loss_0,loss_1,collisions_0,collisions_1,ou_theta_0,ou_theta_1,ou_mu_0,ou_mu_1,ou_sigma_0,ou_sigma_1,ou_dt_0,ou_dt_1,ou_x0_0,ou_x0_1
29,2,-0.16564388415991488,-250.64889346563825,-0.5,-0.5,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
30,9,-0.1101299901395058,-55.615602758784505,-0.1111111111111111,-0.1111111111111111,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
31,14,-0.09299437897023885,-35.76071367582821,10036.55663838344,7836.715901111652,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
32,2,-0.14199330868298127,-250.889463086494,19484.522189751267,0.17173515260219574,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
33,2,-0.08654099655677083,-250.7164476930776,15608.447021484375,23486.74365234375,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
34,4,-125.12686032171335,0.12686032171335107,11685.049498438835,13700.8505859375,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
35,5,-0.10427967830712097,-100.17752434013263,20234.15849609375,7817.6,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
36,5,-100.0912079432895,0.056204683112366996,15554.748132514953,7808.453442549706,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
37,12,-0.11464634054750407,-41.69320654844362,17466.992537279923,12340.93307013313,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
38,4,-125.17994682027864,0.17994682027863862,11644.223143696785,7768.430792987347,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
39,7,-0.07895453845085061,-71.6579984491554,8855.063532693046,13292.31556715284,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
40,4,-0.17371252860049394,-125.19052654863955,7711.529628157616,13531.432281017303,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
41,2,-250.10191279896492,0.10191279896491612,15410.314208984375,7705.650634765625,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
42,6,-0.06615315208003401,-83.57853579902893,7699.08847061793,12843.079043706259,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
43,10,-0.10802789191460738,-50.11014049015612,15415.46320476532,12244.331870269776,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
44,2,-250.10470629778268,0.10470629778270196,11442.5087890625,3813.199411392212,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
45,3,-166.8769231415138,-167.01933247696442,7650.5473829905195,15186.881673177084,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
46,14,-35.85912243863805,0.11620129299958824,22090.418003627234,16575.38455636161,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
47,2,-250.1605135979367,0.16051359793670256,26492.9013671875,11247.4521484375,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
48,6,-0.06023878899473295,-83.44159587729249,12375.537030537924,13509.32644144694,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
49,8,-0.12353533680416343,-62.64792715752755,15667.692167282104,12785.980617523193,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
50,8,-62.55084850985207,0.02047369020178825,15814.279029846191,13511.091743469238,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
51,15,-0.09455312664923089,-33.35470546001704,16042.110862223308,19559.267122395835,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
52,5,-0.19154090852262853,-100.16110307470625,21610.3033203125,13142.03388671875,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
53,3,-0.13035403717688174,-167.22192308049736,7816.168619791667,9922.762532552084,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
54,6,-83.4345996411743,0.10126630784096415,16262.073567708334,11623.909342447916,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
