episode,steps,reward_0,reward_1,loss_0,loss_1,collisions_0,collisions_1
0,6,-0.1430052839964139,-8.647195259380299,1.6206050374125855,1.3466029949909906,0.0,0.0
1,3,-0.047668427998804636,-20.32017742384672,2.0178014325537004,1.729774901139151,0.0,0.0
2,2,-26.07510275965964,-10.16008871192336,2.8598543052420773,2.342487203985747,0.0,0.0
3,1,-78.11651904835364,-10.16008871192336,5.248809859680715,3.820086957401919,0.0,0.0
4,2,-65.31084926442021,-5.08004435596168,4.639889115179221,3.3876432321171315,0.0,0.0
5,2,-32.65542463221011,-28.221178020423608,3.7975443110057823,2.6085621863655803,0.0,0.0
6,3,-28.138733771841355,-10.177534314481886,3.124292035517259,2.1731580515696494,0.0,0.0
7,2,-14.28684009347088,-31.302690797920242,3.2572189787250037,2.253268917814016,0.0,0.0
8,4,-16.38979216070601,-7.8256726994800605,2.562007054362559,1.6715170445156329,0.0,0.0
9,2,-34.54419354761415,-3.9128363497400303,3.2239656135451678,2.313358275673988,0.0,0.0
10,3,-11.51473118253805,-18.632218714709907,2.5522549579312277,2.0114538741831502,0.0,0.0
11,3,-3.8382437275126833,-23.52369884810949,2.328351406059914,1.9015958394235228,0.0,0.0
12,4,-0.9595609318781708,-18.641079460314707,2.0596876049311503,1.5835987749180096,0.0,0.0
13,2,-27.478766998272317,-9.320539730157353,3.4809162602335446,2.2693991408751764,0.0,0.0
14,4,-6.869691749568079,-15.156108524827392,2.347828818474558,1.7419845178735693,0.0,0.0
15,7,-8.2976444884163,-2.1651583606896274,1.83950924063824,1.7264546845409672,0.0,0.0
16,1,-8.2976444884163,-53.19876975034407,3.317108994054412,1.7264546845409672,0.0,0.0
17,3,-2.7658814961387663,-34.95055890226052,2.5833027514343088,1.734511406659441,0.0,0.0
18,1,-2.7658814961387663,-86.84534125811274,4.06090250485048,4.2450163744432166,0.0,0.0
19,5,-0.6046836055085599,-27.571080416995766,2.3412875606670744,2.031083077621581,0.0,0.0
20,6,-0.10078060091809332,-13.286460979642362,1.8678143468606843,1.7199909302431513,0.0,0.0
21,3,-0.03359353363936444,-21.574233073398556,2.1002045357030665,2.410141345380172,0.0,0.0
22,2,-0.01679676681968222,-36.815891194757945,2.527702021267705,3.386217007165068,0.0,0.0
23,5,-10.385412436599887,-7.363178238951589,2.2236623041553987,1.859323204165951,0.0,0.0
24,2,-31.024507198307727,-3.6815891194757944,2.8752052147310705,2.4072613554991475,0.0,0.0
25,3,-10.341502399435909,-19.470366689591177,2.436001491659862,2.3981965166109567,0.0,0.0
26,4,-15.536650370105452,-4.867591672397794,2.2429765883093395,2.077148882568911,0.0,0.0
27,10,-6.657014811597523,-5.6366386504064865,1.8052471868340831,1.5734337699696912,0.0,0.0
28,2,-4.251623419537489,-28.73589546997024,2.928967355992364,1.8133380484282302,0.0,0.0
29,9,-6.679529748783819,-8.99915954395404,2.2189275919085203,1.6235693223259142,0.0,0.0
30,7,-8.547834846268797,-1.2855942205648627,1.9265979761535121,1.7095382280341593,0.0,0.0
31,2,-30.71196000591609,-0.6427971102824314,3.4257213033936615,1.5935689907251656,0.0,0.0
32,4,-20.611222018746453,-0.16069927757060784,2.483529297062043,1.8759920010974631,0.0,0.0
33,3,-24.028846403299806,-17.189907004728493,2.6716599048780854,1.7178172855327143,0.0,0.0
34,5,-4.805769280659961,-14.251732106831852,2.011931734391789,2.319263161534188,0.0,0.0
35,3,-18.705620781032806,-4.750577368943951,2.1701572245385656,2.250687473927568,0.0,0.0
36,1,-70.57485105412832,-4.750577368943951,4.418306714750066,3.7282872273437397,0.0,0.0
37,4,-30.752739176686994,-1.1876443422359877,2.9548390366896604,2.040271621898064,0.0,0.0
38,3,-27.60599497009518,-0.3958814474119959,2.865332409040587,1.6651570429101359,0.0,0.0
39,2,-39.348951464187635,-0.19794072370599794,3.411676609629212,1.5713783981631537,0.0,0.0
40,4,-22.862307943156956,-0.20141777906623184,2.643020872556636,1.5010444146029172,0.0,0.0
41,8,-2.925501487288851,-6.40523944101187,1.8079773624857514,1.7952925238701272,0.0,0.0
42,2,-2.123428376490804,-30.001710366803113,2.8119272510822366,3.3252991471859645,0.0,0.0
43,2,-26.951939670867063,-15.000855183401557,3.1964108959116806,3.140249327009154,0.0,0.0
44,4,-6.737984917716766,-17.37010047250506,2.276702477394092,2.286122358921839,0.0,0.0
45,3,-19.49814284828305,-5.790033490835021,2.627876541498288,1.7471072885847274,0.0,0.0
46,1,-71.46158440583007,-5.790033490835021,5.006800129504743,3.224707042000899,0.0,0.0
47,9,-13.692192373822076,-6.333735136729656,2.1655017425981598,1.6863523384956238,0.0,0.0
48,4,-17.374021274013643,-1.583433784182414,2.8512985706400804,1.5297878996860348,0.0,0.0
49,3,-22.82095048010723,-0.527811261394138,2.7743192825724035,1.4949958021727927,0.0,0.0
50,7,-10.552012475838021,-0.07540160877059114,2.022950629606361,1.4800849032385461,0.0,0.0
51,1,-62.439131837120094,-0.07540160877059114,4.338854816407996,2.9576846566547177,0.0,0.0
