episode,steps,reward_0,reward_1,loss_0,loss_1,collisions_0,collisions_1
0,2,-25.75366781803472,0.0,1305.2627162689366,0.0,2.0,2.0
0,11,-2.352244763607926,-4.987472869501947,118.6602469335397,1637.9276742084687,11.0,11.0
1,9,-2.704239450057504,-0.24937364347509736,137.65923804044337,81.89638371042344,20.0,20.0
1,23,-1.5799552840401079,-0.007334518925738158,4.04880111883657,2.448467451617113,34.0,34.0
2,5,-1.3492430409719252,-0.00018806458783943996,66.88097151481306,0.0627812167081311,39.0,39.0
2,14,-0.041549237598823986,-1.0753573414606197,1.393353573225272,55.28786194912332,48.0,48.0
3,15,-0.0006595117079178411,-0.8407997123856549,0.03312331779869974,0.8775851103035447,63.0,63.0
3,24,-0.723207448015265,-0.01742524337515893,0.00046004608053749636,0.04310867020703756,72.0,72.0
4,5,-0.6741047121516294,-0.00022630186201505107,34.4373909349669,0.0005598528598316566,77.0,77.0
4,17,-0.007574210248894712,-0.646766113701726,0.38693697679738087,29.350151376281588,89.0,89.0
5,5,-8.057670477547566e-05,-0.561962018859227,0.012043955169057912,0.31223565293916583,94.0,94.0
5,124,-3.7829438861725664e-07,-0.2678295685909663,5.654439046506062e-05,12.25159564014921,213.0,213.0
6,6,-1.7273716375217198e-09,-0.23732206396550448,0.009517276183515125,0.05594335908743932,219.0,219.0
6,68,-6.1472300267676864e-12,-0.1853948225960116,3.386931026161966e-05,9.343264345273733,281.0,281.0
7,10,-2.1124501810198236e-14,-0.17693877035301162,0.01360165753059111,0.03210743761262451,291.0,291.0
7,25,-0.17471257459632233,-0.0005782312756634366,4.444986121108206e-05,0.002325673644661515,306.0,306.0
8,5,-0.16589212932895223,-1.8592645519724652e-06,7.78306023681094,7.478050304377862e-06,311.0,311.0
8,15,-0.0005167979106820941,-0.16417753886051203,0.02424629357261975,8.114858151592651,321.0,321.0
9,7,-1.5756033862258967e-06,-0.15760835380419908,7.392162674579192e-05,0.024740421193880036,328.0,328.0
9,13,-4.717375407861966e-09,-0.15588176390117284,2.2132223576584405e-07,7.760719126047359,334.0,334.0
10,3,-0.15440316199042722,-0.00046255716291149207,7.736863960803057,0.02302884013663905,337.0,337.0
10,23,-0.14559230080505206,-1.295678327483171e-06,0.021671887845386716,8.874779207481989e-05,357.0,357.0
11,65,-0.0003450054521446731,-0.12309680016463555,13.032780883949746,2.1030282482184806e-07,422.0,422.0
11,69,-0.0021040466294886136,-0.12188053681238054,0.030593382356689545,5.7222635419624375,426.0,426.0
12,13,-0.11871064103045584,-0.11851719709115031,6.0460387052503135,0.013034768888297124,439.0,439.0
12,15,-0.003283137380677103,-0.11793425102059225,0.013709838333900938,6.23400646922699,441.0,441.0
13,6,-0.11489303660064788,-0.00026383501346888646,6.020058543801806,0.013946323197375815,447.0,447.0
13,51,-0.1113140554308564,-5.362500273757855e-07,0.012235891349190663,2.834618536051995e-05,492.0,492.0
14,11,-0.0002213003090076668,-0.10139540170013159,0.00590821419698302,5.635424524954264e-08,503.0,503.0
14,32,-4.2232883398409696e-07,-0.10053429181539286,1.1275217933173703e-05,1.0754626956019589e-10,524.0,524.0
15,16,-0.09459332821223487,-0.00018617461447294973,5.074750482157299,1.991597584448072e-13,540.0,540.0
15,20,-0.0001738847945077847,-0.09408487701158486,0.009328585445142094,3.661024971411897e-16,544.0,544.0
16,4,-0.09629555750425679,-0.0019088351376716653,5.0046548084231715,6.680702502576454e-19,548.0,548.0
16,5,-0.09312666431183186,-0.0011999253471570489,0.00911594682772891,1.2168857017443451e-21,549.0,549.0
17,10,-0.09155590832322254,-2.1465569716584057e-06,4.907209036667445,2.1768974986482024e-24,559.0,559.0
17,14,-0.0001626215067908038,-0.09062759198351991,0.00871617946122104,3.866603017137127e-27,563.0,563.0
