episode,steps,reward_0,reward_1,loss_0,loss_1,eps_greedy_0,eps_greedy_1,collisions_0,collisions_1
0,76,-0.7348132694034386,0.07691853256133334,-0.013157894736842105,-0.013157894736842105,0.5,0.5,0.0,0.0
1,74,-0.770755243046635,0.09507956737095935,-0.013513513513513514,-0.013513513513513514,0.5,0.5,0.0,0.0
2,16,-3.262876582001616,0.13787658200161632,-0.0625,-0.0625,0.5,0.5,0.0,0.0
3,123,-0.09002970140310458,-0.3821816898125939,-0.008130081300813009,-0.008130081300813009,0.5,0.5,0.0,0.0
4,48,20.800340799577892,-21.960504683717602,-0.020833333333333332,-0.020833333333333332,0.5,0.5,2.0,2.0
5,166,-0.3753788936894408,0.013384088118471629,-0.006024096385542169,-0.006024096385542169,0.5,0.5,0.0,0.0
6,95,-0.10675085016000561,-0.4507133597548987,-0.010526315789473684,-0.010526315789473684,0.5,0.5,0.0,0.0
7,6,-8.39104734659739,0.057714013264056015,-0.16666666666666666,-0.16666666666666666,0.5,0.5,0.0,0.0
8,103,-0.07782931310348347,-0.42814916859368235,-0.009708737864077669,-0.009708737864077669,0.5,0.5,0.0,0.0
9,6,-0.10731721253370428,-8.671603557896574,-0.16666666666666666,-0.16666666666666666,0.5,0.5,0.0,0.0
10,11,-0.10919445764398486,-4.862789906695756,-0.09090909090909091,-0.09090909090909091,0.5,0.5,0.0,0.0
11,6,-8.508041510272829,0.17470817693949592,-0.16666666666666666,-0.16666666666666666,0.5,0.5,0.0,0.0
12,77,-0.7327491221592398,0.08339847280859052,-0.012987012987012988,-0.012987012987012988,0.5,0.5,0.0,0.0
13,160,-0.07324706062558758,-0.29351981010302974,-0.00625,-0.00625,0.5,0.5,0.0,0.0
14,62,16.088196226765927,-16.957817856268438,-0.016129032258064516,-0.016129032258064516,0.5,0.5,2.0,2.0
15,17,-0.05913701722953437,-3.035539503804461,-0.058823529411764705,-0.058823529411764705,0.5,0.5,0.0,0.0
16,102,-0.04813044990574098,-0.4652849955495979,-0.00980392156862745,-0.00980392156862745,0.5,0.5,0.0,0.0
17,16,-0.11844090128686872,-3.136081153068808,-0.0625,-0.0625,0.5,0.5,0.0,0.0
18,72,-0.07782000208013296,-0.6571976604542477,-0.013888888888888888,-0.013888888888888888,0.5,0.5,0.0,0.0
19,11,-0.06332191601959893,-4.675192013316044,-0.09090909090909091,-0.09090909090909091,0.5,0.5,0.0,0.0
20,90,-0.08750584395895594,-0.5230250766159229,123.15626061095132,62.78614046308729,0.5005699999999974,0.5005699999999974,0.0,0.0
21,23,-2.3738995051477874,0.07805220048127136,81.25316254988961,34.40458331159923,0.5007999999999964,0.5007999999999964,0.0,0.0
22,29,-0.10814748371948693,-1.7746850707164565,128.3707825397623,64.12454525355635,0.501089999999995,0.501089999999995,0.0,0.0
23,74,-0.09526427653466046,-0.5939364207667343,144.82322934833732,59.2199611647709,0.5018299999999917,0.5018299999999917,0.0,0.0
24,88,-0.07208716791831703,-0.5174590493517086,96.51108188385314,40.012005207890816,0.5027099999999877,0.5027099999999877,0.0,0.0
25,206,-0.07475747045757339,-0.18542043115241333,99.17692742301422,38.92223672525397,0.5047699999999783,0.5047699999999783,0.0,0.0
26,5,-10.193967930943161,0.19396793094316225,79.58712072372437,34.464682936668396,0.5048199999999781,0.5048199999999781,0.0,0.0
27,107,-0.10326648708237861,-0.3796506893234292,69.12811336784719,26.94515854008844,0.5058899999999732,0.5058899999999732,0.0,0.0
28,44,-1.2437669147258534,0.0744311166755174,74.41864350709048,25.396388274702158,0.5063299999999712,0.5063299999999712,0.0,0.0
29,51,-0.04878202820098578,-1.1061805201009802,73.26490797716029,25.26401781685212,0.5068399999999689,0.5068399999999689,0.0,0.0
30,5,-0.09707261697135924,-10.371516335601546,31.999284744262695,14.346859407424926,0.5068899999999686,0.5068899999999686,0.0,0.0
31,139,7.136264520912197,-7.509790034187135,106.70186461990686,44.72577948793233,0.5082799999999623,0.5082799999999623,2.0,2.0
32,43,-1.298041269824571,0.1352505721501523,123.15058667160744,59.4337563681048,0.5087099999999604,0.5087099999999604,0.0,0.0
33,30,-0.09410782623919815,-1.7009511988416248,65.908123199145,34.0872736175855,0.509009999999959,0.509009999999959,0.0,0.0
34,9,-5.5768841424558975,-0.559880327291611,155.899768087599,63.06410034497579,0.5090999999999586,0.5090999999999586,0.0,0.0
35,92,-0.057298356427296866,-0.5395929510775125,99.31503234220588,47.034173027328826,0.5100199999999544,0.5100199999999544,0.0,0.0
36,76,-0.7392988912191892,0.07799285259272294,85.86969809155715,40.16651162583577,0.5107799999999509,0.5107799999999509,0.0,0.0
37,131,3.7582739430997676,-4.159852465686794,105.69802098874827,49.408660020992045,0.512089999999945,0.512089999999945,1.0,1.0
38,76,-0.0691991653363814,-0.6427625925169536,94.67320482040707,44.32385335627355,0.5128499999999415,0.5128499999999415,0.0,0.0
39,67,-0.8231353813507625,0.04778624513575012,134.68536198317116,50.37987591793288,0.5135199999999385,0.5135199999999385,0.0,0.0
40,49,20.35913499429755,-21.41358452313904,118.65040023959413,41.16557704915806,0.5140099999999362,0.5140099999999362,2.0,2.0
