episode,steps,reward_0,reward_1,reward_2,loss_0,loss_1,loss_2,collisions_0,collisions_1,collisions_2,ou_theta_0,ou_theta_1,ou_theta_2,ou_mu_0,ou_mu_1,ou_mu_2,ou_sigma_0,ou_sigma_1,ou_sigma_2,ou_dt_0,ou_dt_1,ou_dt_2,ou_x0_0,ou_x0_1,ou_x0_2
19,4,-0.05120035610374915,-125.19045468203464,0.05120035610374915,-0.25,-0.25,-0.25,0.0,0.0,0.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
20,4,-125.06643835736065,0.06643835736065709,0.2071530296198863,-0.25,-0.25,-0.25,0.0,0.0,0.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
21,2,-0.12519917523806895,-251.118714020015,0.12519917523806895,-0.5,-0.5,-0.5,0.0,0.0,0.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
22,21,-0.04872859359539938,-23.812769901761833,0.06170594270044982,-0.047619047619047616,-0.047619047619047616,-0.047619047619047616,0.0,0.0,0.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
23,10,-0.13585120518361526,-50.07829391136759,0.13659811709266584,-0.1,-0.1,-0.1,0.0,0.0,0.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
24,3,-0.06872788475739465,-167.0526396084729,0.06872788475739465,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,0.0,0.0,0.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
25,9,-0.05428573803749091,-55.62878051664537,0.07618341678450294,-0.1111111111111111,-0.1111111111111111,-0.1111111111111111,0.0,0.0,0.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
26,10,-0.07921504437801614,-50.10506391979676,0.06167142922122863,-0.1,-0.1,-0.1,0.0,0.0,0.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
27,12,-0.06854588577538268,-41.815302504341645,0.07074026080124249,-0.08333333333333333,-0.08333333333333333,-0.08333333333333333,0.0,0.0,0.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
28,5,-0.05435618555789699,-100.40929930919735,0.1309170321817437,-0.2,-0.2,-0.2,0.0,0.0,0.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
