episode,steps,reward_0,reward_1,loss_0,loss_1,collisions_0,collisions_1
0,3,-0.18812900740465135,-17.172050653521286,0.11309498581882066,0.20611879659741753,0.0,0.0
1,2,-25.345798237510277,-8.33429159295269,0.18354171464583574,-0.02168011377281956,0.0,0.0
2,4,-19.014992290043285,-1.905030167572457,0.1477544430613397,-0.08209374470903966,0.0,0.0
3,4,-4.917262601269461,-13.190115874989527,0.13042452389413367,0.013269139556829401,0.0,0.0
4,4,-13.966260298926462,-3.0605843201382825,0.1682486336864707,-0.09798486100695378,0.0,0.0
5,5,-2.922679951850616,-10.690945266315158,0.09729247724572146,0.12287418059453836,0.0,0.0
6,9,-0.42594658217134984,-6.866639174932086,0.06401719729195017,0.052642013189199435,0.0,0.0
7,1,-50.604333454588925,-6.688252302514516,0.15479231223506718,-0.03496974428525318,0.0,0.0
8,3,-16.96282691754332,-19.166509925016133,0.1085150405068141,-0.018521736200830672,0.0,0.0
9,11,-1.5902441422445366,-6.36105410782555,0.03522173825294777,0.002760028380279755,0.0,0.0
10,8,-6.547475678103593,-0.6964366031551673,0.05475292783555864,-0.0479999462215514,0.0,0.0
11,2,-3.4483482137838686,-25.98227216288059,0.14371362244526922,0.2144126483402188,0.0,0.0
12,6,-0.662268901293101,-12.911874278743705,0.0664166234317799,0.19456982840309334,0.0,0.0
13,2,-0.8211191529274308,-31.908078882763284,0.2777403796318847,0.3794781007369511,0.0,0.0
14,6,-0.3158924714800811,-13.763590278849206,0.13443495559868684,0.16322910246546854,0.0,0.0
15,3,-17.073306139463945,-4.28652144397915,0.19707586530037424,-0.09466806804794943,0.0,0.0
16,3,-6.015154873620286,-18.51003386850758,0.2601635451355687,0.14085633538641285,0.0,0.0
17,5,-1.3897382757847494,-13.949831718227482,0.1560779147816078,0.14178597214018082,0.0,0.0
18,5,-0.34182271182439405,-13.110319223066679,0.06681094916870213,0.14775680927826015,0.0,0.0
19,1,-0.7712271356678413,-65.95865671791468,0.2802937320505914,1.9353981216469265,0.0,0.0
20,10,-0.1630039698472149,-11.686343842040534,0.07358410900293427,0.21070694179661958,0.0,0.0
21,4,-0.26458754108993665,-15.551934348830056,0.12909740874277806,0.21717495332031198,0.0,0.0
22,7,-0.1294454630860468,-9.569671528811735,0.06792828106481817,0.11182502648676763,0.0,0.0
23,3,-16.857478818021814,-20.075400429415023,0.11132616072114566,-0.006698317092888646,0.0,0.0
24,8,-2.206528410018208,-8.905797460578071,0.0635148049610886,0.1022190418682187,0.0,0.0
25,3,-17.622851110456967,-2.747924179741791,0.13229869171192343,-0.07547486976993217,0.0,0.0
26,4,-17.14343973190772,-0.44925409064196986,0.16854094010418375,-0.12112940455975812,0.0,0.0
27,4,-4.3332210148455,-12.82240706823802,0.0695501744253404,-0.05022849360921617,0.0,0.0
28,3,-1.61074375401964,-21.156416883482123,0.12311862038796433,-0.04781264433102855,0.0,0.0
