formatted_date,adjclose,open,high,low
2015-06-22,28.166250228881836,32.2599983215332,32.38999938964844,32.08000183105469
2015-06-23,28.017818450927734,32.310001373291016,32.34000015258789,31.93000030517578
2015-06-24,27.86066246032715,32.150001525878906,32.150001525878906,31.8799991607666
2015-06-25,27.930513381958008,32.02000045776367,32.31999969482422,31.989999771118164
2015-06-26,27.083602905273438,31.510000228881836,31.530000686645508,30.760000228881836
2015-06-29,26.533552169799805,30.700000762939453,30.979999542236328,30.309999465942383
2015-06-30,26.55974578857422,30.6299991607666,30.690000534057617,30.149999618530273
2015-07-01,26.350196838378906,30.489999771118164,30.549999237060547,30.010000228881836
2015-07-02,26.68198013305664,30.18000030517578,30.920000076293945,30.100000381469727
2015-07-06,26.227964401245117,30.239999771118164,30.450000762939453,29.84000015258789
2015-07-07,26.105731964111328,29.8700008392334,29.93000030517578,29.09000015258789
2015-07-08,25.756484985351562,29.399999618530273,29.670000076293945,29.149999618530273
2015-07-09,25.258821487426758,29.719999313354492,29.889999389648438,28.81999969482422
2015-07-10,25.468366622924805,29.200000762939453,29.350000381469727,28.940000534057617
2015-07-13,25.957300186157227,29.270000457763672,29.81999969482422,29.190000534057617
2015-07-14,25.887453079223633,29.65999984741211,30.110000610351562,29.440000534057617
2015-07-15,25.922378540039062,29.649999618530273,29.989999771118164,29.469999313354492
2015-07-16,26.105731964111328,30.469999313354492,30.479999542236328,29.100000381469727
2015-07-17,25.730295181274414,29.65999984741211,29.799999237060547,29.100000381469727
2015-07-20,25.407251358032227,29.6200008392334,29.6200008392334,29.06999969482422
2015-07-21,25.075469970703125,28.959999084472656,29.260000228881836,28.670000076293945
2015-07-22,24.979427337646484,28.56999969482422,28.850000381469727,28.43000030517578
2015-07-23,24.970699310302734,28.65999984741211,28.969999313354492,28.43000030517578
2015-07-24,24.499223709106445,28.530000686645508,28.639999389648438,28.059999465942383
2015-07-27,24.752424240112305,28.06999969482422,28.420000076293945,27.6200008392334
2015-07-28,25.285011291503906,28.510000228881836,29.18000030517578,28.440000534057617
2015-07-29,25.328670501708984,28.950000762939453,29.1299991607666,28.790000915527344
2015-07-30,25.24135971069336,29.100000381469727,29.450000762939453,28.850000381469727
2015-07-31,25.27628517150879,29.1200008392334,29.1200008392334,28.770000457763672
2015-08-03,25.363595962524414,29.0,29.350000381469727,28.899999618530273
2015-08-04,25.433441162109375,28.979999542236328,29.149999618530273,28.860000610351562
2015-08-05,25.635923385620117,29.190000534057617,29.389999389648438,29.020000457763672
